CommentID,level,reason,status,detected_at,resolved_at
28573885165557219,low,Quan điểm tiêu cực về sản phẩm bảo hiểm liên kết đầu tư (ILP) và tình trạng khách hàng.,new,2026-09-04T11:09:04.271608,
1745956163278374,low,Khó khăn trong việc mua bảo hiểm sức khỏe và bị từ chối sản phẩm bổ trợ do tiền sử bệnh lý.,new,2026-09-04T11:09:04.271608,
1746102479930409,low,Bị từ chối/loại trừ bảo hiểm sức khỏe cho trẻ em vì tiền sử bệnh nhẹ.,new,2026-09-04T11:09:04.271608,
1746061706601153,low,Phàn nàn cá nhân về tính cạnh tranh của sản phẩm bảo hiểm.,new,2026-09-04T11:09:04.271608,
1746544773219513,low,Phàn nàn cá nhân về chi phí và chính sách tái tục của sản phẩm bảo hiểm.,new,2026-09-04T11:09:04.271608,
1746510219889635,low,Phàn nàn cá nhân về chi phí sản phẩm cao.,new,2026-09-04T11:09:04.271608,
2501928813644343,low,Bảo hiểm không kịp thời có mặt tại hiện trường tai nạn.,new,2026-09-04T11:09:20.840351,
2249682995969654,low,Phát ngôn tiêu cực về ngành bảo hiểm.,new,2026-09-08T17:37:31.513887,
1618467626404204,medium,"Mất niềm tin vào ngành bảo hiểm do công ty né tránh bồi thường, cần TVV 'đấu tranh'.",new,2026-09-08T17:38:24.050074,
1619993716251595,low,Phan nan ve cach tu van vien tuong tac cong khai.,new,2026-09-08T17:42:48.789818,
1620876532829980,low,phan nan ve phi bao hiem cao,new,2026-09-08T17:46:29.528433,
2110621766205625,low,"Trải nghiệm tiêu cực về quy trình bồi thường phức tạp, mất thời gian.",new,2026-09-08T17:48:26.847233,
28630180989927636,medium,"Khách hàng tố cáo quy trình bồi thường phức tạp, thiếu hỗ trợ, cố tình làm khó và từ chối chi trả không hợp lý từ MIC.",new,2026-09-08T17:52:25.991083,
28630182859927449,medium,"Khách hàng tố cáo quy trình bồi thường phức tạp, thiếu hỗ trợ, cố tình làm khó và từ chối chi trả không hợp lý từ MIC.",new,2026-09-08T17:52:25.991083,
28630228759922859,low,Khách hàng phàn nàn về việc thiếu hỗ trợ từ công ty bảo hiểm.,new,2026-09-08T17:52:25.991083,
