CommentID,insurance_line,insurance_subline,confidence,evidence,detected_at
2249682995969654,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250530572551563,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
2250530775884876,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250576952546925,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250577192546901,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250590139212273,bank_insurance,bank_insurance,0.86,vay,2026-09-16T11:01:31.586651
2250602759211011,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250611159210171,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250645255873428,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250730392531581,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250749282529692,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2250819755855978,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
2251085862496034,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616320479952252,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616321166618850,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616322349952065,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616325129951787,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616325826618384,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616326373284996,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616330839951216,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616331013284532,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616331183284515,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616333636617603,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616335079950792,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616337346617232,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616338423283791,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616343596616607,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1616346986616268,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616350379949262,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616350803282553,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616351059949194,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616351339949166,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616356363281997,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616357566615210,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616363086614658,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616363696614597,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616369013280732,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616374943280139,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616376956613271,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616377039946596,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616377119946588,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616377959946504,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616382533279380,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1616382946612672,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616395236611443,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616397923277841,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616399913277642,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616400623277571,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616406363276997,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616408209943479,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616410726609894,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616422706608696,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616422773275356,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616422823275351,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616422879942012,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616423213275312,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616451236605843,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616468566604110,car,car,0.96,o to,2026-09-16T11:01:31.586651
1616530013264632,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616579019926398,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616598303257803,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617135229870777,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617179359866364,car,car,0.96,o to,2026-09-16T11:01:31.586651
1617270063190627,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617288576522109,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617288916522075,car,car,0.96,o to,2026-09-16T11:01:31.586651
1617321589852141,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618935219690778,health,health,0.88,noi tru,2026-09-16T11:01:31.586651
1618939076357059,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619058219678478,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1621566146094352,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1621580912759542,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622429232674710,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622565195994447,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622565459327754,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616457496605217,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616457776605189,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616458059938494,critical_illness,critical_illness,0.9,ung thu,2026-09-16T11:01:31.586651
1616518883265745,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616521656598801,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616526489931651,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616528533264780,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616530953264538,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616531903264443,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616538206597146,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1616544359929864,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1616545486596418,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616546323263001,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616546713262962,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616561383261495,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616567103260923,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616572353260398,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616573306593636,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1616573489926951,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616575489926751,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1616575629926737,critical_illness,critical_illness,0.9,ung thu,2026-09-16T11:01:31.586651
1616589739925326,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616632423254391,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616646933252940,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616661646584802,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616697113247922,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1616707076580259,critical_illness,critical_illness,0.9,ung thu,2026-09-16T11:01:31.586651
1616753796575587,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617062816544685,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1617155529868747,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618003566450610,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618071216443845,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1618157873101846,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619034679680832,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619034813014152,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619148246336142,travel,travel,0.94,du lich,2026-09-16T11:01:31.586651
1619884826262484,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619897706261196,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619902562927377,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620884676162499,life,unit_linked,0.92,ilp,2026-09-16T11:01:31.586651
1621565596094407,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1622424199341880,car,car,0.96,o to,2026-09-16T11:01:31.586651
1618467626404204,bank_insurance,bank_insurance,0.86,vay,2026-09-16T11:01:31.586651
1618474179736882,bank_insurance,bank_insurance,0.86,vay,2026-09-16T11:01:31.586651
1618934736357493,health,health,0.88,noi tru,2026-09-16T11:01:31.586651
1618469226404044,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618477609736539,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618480599736240,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618483616402605,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618485319735768,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618487236402243,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618488833068750,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618501439734156,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618527383064895,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618652619719038,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618837013033932,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618885573029076,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619150569669243,travel,travel,0.94,du lich,2026-09-16T11:01:31.586651
1620885739495726,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1618970129687287,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619104699673830,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619105859673714,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619365859647714,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619710562946577,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619771189607181,car,car,0.96,oto,2026-09-16T11:01:31.586651
1620170266233940,bank_insurance,bank_insurance,0.86,the tin dung,2026-09-16T11:01:31.586651
1619024946348472,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619025056348461,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619025456348421,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619025579681742,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619025646348402,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619025876348379,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619025976348369,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1619026106348356,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619026286348338,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619026383014995,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619026393014994,critical_illness,critical_illness,0.9,ung thu,2026-09-16T11:01:31.586651
1619026673014966,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619027253014908,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619027469681553,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619027569681543,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619028133014820,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619028309681469,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619028399681460,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619028713014762,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619029209681379,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619030429681257,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619031696347797,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619033713014262,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619033709680929,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1619034183014215,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619034506347516,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619036466347320,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1619037869680513,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1619041059680194,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619041393013494,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619044106346556,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619044109679889,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619045033013130,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619045509679749,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619047006346266,bank_insurance,bank_insurance,0.86,vay,2026-09-16T11:01:31.586651
1619049563012677,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619049823012651,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619052696345697,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1619056146345352,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619059329678367,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619060123011621,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619061896344777,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619068176344149,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619068179677482,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619076399676660,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1619083479675952,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619085216342445,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619098493007784,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619098496341117,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619116246339342,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619122369672063,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619138883003745,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619150869669213,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619152849669015,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619152919669008,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619155536335413,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619170096333957,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619192382998395,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619199499664350,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619200522997581,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1619205252997108,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619215516329415,life,life_general,0.82,nhan tho,2026-09-16T11:01:31.586651
1619239742993659,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619294286321538,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619321396318827,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619658422951791,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619800906270876,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619832812934352,critical_illness,critical_illness,0.9,benh hiem ngheo,2026-09-16T11:01:31.586651
1619840359600264,bank_insurance,bank_insurance,0.86,the tin dung,2026-09-16T11:01:31.586651
1619882036262763,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619905819593718,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619946636256303,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620000666250900,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1620073552910278,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620345542883079,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620357599548540,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620372279547072,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1621502492767384,life,life_general,0.82,bhnt,2026-09-16T11:01:31.586651
1621565086094458,health,health,0.88,suc khoe,2026-09-16T11:01:31.586651
1622536222664011,car,car,0.96,o to,2026-09-16T11:01:31.586651
1622564705994496,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622564762661157,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622564882661145,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622564959327804,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1622565012661132,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1620751479509152,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619207979663502,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
1619993716251595,unknown,unknown,0.3,,2026-09-16T11:01:31.586651
